Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,31,369.939131037713,"(625, 0, 200)","(125, 0, 150)"
1,1,17,344.8486676201422,"(625, 0, 200)","(625, 0, 100)"
2,2,43,391.44524253848806,"(125, 0, 200)","(375, 0, 0)"
3,3,53,409.3670021224673,"(625, 0, 0)","(125, 0, 200)"
4,4,47,398.61394637207974,"(625, 0, 0)","(375, 0, 200)"
5,5,15,341.2643157033463,"(625, 0, 150)","(375, 0, 200)"
6,6,53,409.3670021224673,"(125, 0, 50)","(625, 0, 200)"
7,7,45,395.0295944552839,"(375, 0, 100)","(625, 0, 200)"
8,8,17,344.8486676201422,"(125, 0, 100)","(125, 0, 200)"
9,9,51,405.7826502056714,"(625, 0, 200)","(125, 0, 100)"
10,10,37,380.69218678810057,"(625, 0, 100)","(125, 0, 200)"
11,11,45,395.0295944552839,"(375, 0, 200)","(625, 0, 50)"
12,12,45,395.0295944552839,"(125, 0, 200)","(375, 0, 100)"
13,13,47,398.61394637207974,"(625, 0, 150)","(125, 0, 200)"
14,14,41,387.86089062169225,"(375, 0, 200)","(625, 0, 50)"
15,15,31,369.939131037713,"(375, 0, 200)","(375, 0, 50)"
16,16,33,373.5234829545089,"(125, 0, 0)","(125, 0, 200)"
17,17,29,366.3547791209172,"(375, 0, 200)","(375, 0, 150)"
18,18,21,352.01737145373386,"(125, 0, 0)","(375, 0, 200)"
19,19,45,395.0295944552839,"(625, 0, 200)","(375, 0, 0)"
