Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT,,,,,,,,,,,,,,,,
Truck-102,Route-102,(175.0 0.0 105.5),(125.0 0.0 200.0),63.696,8.072,34.64,,Truck-102,Route-102,(175.0 0.0 105.5),(125.0 0.0 200.0),59.803,6.968,31.821,,Truck-102,Route-102,(175.0 0.0 105.5),(125.0 0.0 200.0),80.263,7.166,52.101
Truck-103,Route-103,(425.0 0.0 55.5),(375.0 0.0 200.0),67.04,8.072,37.968,,Truck-103,Route-103,(425.0 0.0 55.5),(375.0 0.0 200.0),63.982,6.968,36.004,,Truck-103,Route-103,(425.0 0.0 55.5),(375.0 0.0 200.0),115.123,7.165,86.961
Truck-101,Route-101,(175.0 0.0 5.5),(125.0 0.0 200.0),72.6,8.064,43.528,,Truck-101,Route-101,(175.0 0.0 5.5),(125.0 0.0 200.0),72.473,6.967,44.497,,Truck-101,Route-101,(175.0 0.0 5.5),(125.0 0.0 200.0),118.922,7.165,90.762
Truck-100,Route-100,(425.0 0.0 105.5),(625.0 0.0 200.0),84.528,8.08,55.456,,Truck-100,Route-100,(425.0 0.0 105.5),(625.0 0.0 200.0),78.154,6.969,50.173,,Truck-100,Route-100,(425.0 0.0 105.5),(625.0 0.0 200.0),119.603,7.166,91.441
Truck-104,Route-104,(425.0 0.0 -5.5),(125.0 0.0 150.0),113.376,38.096,54.28,,Truck-104,Route-104,(425.0 0.0 -5.5),(125.0 0.0 150.0),105.103,36.72,47.383,,Truck-104,Route-104,(425.0 0.0 -5.5),(125.0 0.0 150.0),180.703,66.904,92.801
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Truck-102,Route-102,(175.0 0.0 105.5),(125.0 0.0 200.0),59.965,7.334,31.632,,,,,,,,
,,,,,,,,Truck-103,Route-103,(425.0 0.0 55.5),(375.0 0.0 200.0),64.163,7.334,35.83,,,,,,,,
,,,,,,,,Truck-101,Route-101,(175.0 0.0 5.5),(125.0 0.0 200.0),70.831,7.333,42.503,,,,,,,,
,,,,,,,,Truck-100,Route-100,(425.0 0.0 105.5),(625.0 0.0 200.0),76.318,7.335,47.98,,,,,,,,
,,,,,,,,Truck-104,Route-104,(425.0 0.0 -5.5),(125.0 0.0 150.0),103.811,37.099,45.706,,,,,,,,
Truck-102,Route-102,(175.0 0.0 105.5),(125.0 0.0 200.0),62.624,8.384,33.264
Truck-103,Route-103,(425.0 0.0 55.5),(375.0 0.0 200.0),65.584,8.384,36.216
Truck-101,Route-101,(175.0 0.0 5.5),(125.0 0.0 200.0),74.16,8.376,44.792
Truck-100,Route-100,(425.0 0.0 105.5),(625.0 0.0 200.0),77.472,8.392,48.096
Truck-104,Route-104,(425.0 0.0 -5.5),(125.0 0.0 150.0),109.264,42.32,45.888
